sample_accession_id,sample_alias,file_name,file_accession_id
EGAN00004405946,RNA018510,RNA018510_S27_R2_001.fastq.gz,EGAF00008256429
EGAN00004405947,RNA018593,RNA018593_S114_R1_001.fastq.gz,EGAF00008256518
EGAN00004405947,RNA018593,RNA018593_S114_R2_001.fastq.gz,EGAF00008256519
EGAN00004405948,RNA016403,RNA016403_S3_R1_001.fastq.gz,EGAF00008256412
EGAN00004405948,RNA016403,RNA016403_S3_R2_001.fastq.gz,EGAF00008256413
EGAN00004405949,RNA016404,RNA016404_S4_R1_001.fastq.gz,EGAF00008256414
EGAN00004405949,RNA016404,RNA016404_S4_R2_001.fastq.gz,EGAF00008256415
EGAN00004405950,RNA018546,RNA018546_S53_R1_001.fastq.gz,EGAF00008256458
EGAN00004405950,RNA018546,RNA018546_S53_R2_001.fastq.gz,EGAF00008256459
EGAN00004405951,RNA018514,RNA018514_S81_R1_001.fastq.gz,EGAF00008256432
EGAN00004405951,RNA018514,RNA018514_S81_R2_001.fastq.gz,EGAF00008256433
EGAN00004405952,RNA018506,RNA018506_S24_R1_001.fastq.gz,EGAF00008256426
EGAN00004405952,RNA018506,RNA018506_S24_R2_001.fastq.gz,EGAF00008256427
EGAN00004405953,RNA018513,RNA018513_S80_R1_001.fastq.gz,EGAF00008256430
EGAN00004405953,RNA018513,RNA018513_S80_R2_001.fastq.gz,EGAF00008256431
EGAN00004405954,RNA018584,RNA018584_S105_R1_001.fastq.gz,EGAF00008256510
EGAN00004405954,RNA018584,RNA018584_S105_R2_001.fastq.gz,EGAF00008256511
EGAN00004405955,RNA018597,RNA018597_S118_R1_001.fastq.gz,EGAF00008256526
EGAN00004405955,RNA018597,RNA018597_S118_R2_001.fastq.gz,EGAF00008256527
EGAN00004405956,RNA018591,RNA018591_S112_R1_001.fastq.gz,EGAF00008256516
EGAN00004405956,RNA018591,RNA018591_S112_R2_001.fastq.gz,EGAF00008256517
EGAN00004405957,RNA018588,RNA018588_S109_R1_001.fastq.gz,EGAF00008256514
EGAN00004405957,RNA018588,RNA018588_S109_R2_001.fastq.gz,EGAF00008256515
EGAN00004405958,RNA018539,RNA018539_S87_R1_001.fastq.gz,EGAF00008256446
EGAN00004405958,RNA018539,RNA018539_S87_R2_001.fastq.gz,EGAF00008256447
EGAN00004405959,RNA018540,RNA018540_S47_R1_001.fastq.gz,EGAF00008256448
EGAN00004405959,RNA018540,RNA018540_S47_R2_001.fastq.gz,EGAF00008256449
EGAN00004405960,RNA018531,RNA018531_S41_R1_001.fastq.gz,EGAF00008256440
EGAN00004405960,RNA018531,RNA018531_S41_R2_001.fastq.gz,EGAF00008256441
EGAN00004405961,RNA018527,RNA018527_S84_R1_001.fastq.gz,EGAF00008256438
EGAN00004405961,RNA018527,RNA018527_S84_R2_001.fastq.gz,EGAF00008256439
EGAN00004405962,RNA018542,RNA018542_S49_R1_001.fastq.gz,EGAF00008256452
EGAN00004405962,RNA018542,RNA018542_S49_R2_001.fastq.gz,EGAF00008256453
EGAN00004405963,RNA016405,RNA016405_S5_R1_001.fastq.gz,EGAF00008256416
EGAN00004405963,RNA016405,RNA016405_S5_R2_001.fastq.gz,EGAF00008256417
EGAN00004405964,RNA018549,RNA018549_S88_R1_001.fastq.gz,EGAF00008256462
EGAN00004405964,RNA018549,RNA018549_S88_R2_001.fastq.gz,EGAF00008256463
EGAN00004405965,RNA018550,RNA018550_S89_R1_001.fastq.gz,EGAF00008256464
EGAN00004405965,RNA018550,RNA018550_S89_R2_001.fastq.gz,EGAF00008256465
EGAN00004405966,RNA018551,RNA018551_S90_R1_001.fastq.gz,EGAF00008256466
EGAN00004405966,RNA018551,RNA018551_S90_R2_001.fastq.gz,EGAF00008256467
EGAN00004405967,RNA018560,RNA018560_S64_R1_001.fastq.gz,EGAF00008256472
EGAN00004405967,RNA018560,RNA018560_S64_R2_001.fastq.gz,EGAF00008256473
EGAN00004405968,RNA018563,RNA018563_S93_R1_001.fastq.gz,EGAF00008256474
EGAN00004405968,RNA018563,RNA018563_S93_R2_001.fastq.gz,EGAF00008256475
